,original,paraphrase
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","While the story has a poignant quality, Paul Pender's script is weighed down by an excess of sacchar"
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",paul pender's first screenplay is marred by an overabundance of saccharine details
2,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",p
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",first-time screenwriter paul pender lays it on a bit too thick with overly sentimental moments in this otherwise poignant tale
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","while the narrative has a naturally moving quality to it, paul pender's overindulgence"
0,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .",one of the emperor's club's biggest issues is that it's a movie with good intentions but ultimately falls short
1,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .","the emperor's club tries to tackle some heavy themes, but somehow it just doesn't quite hit the"
0,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .",that emperor's club movie is one of those flicks that's got all the right intentions but somehow falls short tho
1,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .",the emperor's club has all the makings of a great film but unfortunately it doesn't quite hit the mark
0,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .",the emperor's club is one of those flicks that's got all the right intentions but somehow still manages to fall short
1,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .",the emperor's club is a movie that's got its heart in the right place but just can't quite
0,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .","one of the movies that has every intention of being good, but somehow falls short,"
1,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .","the emperor's club is a film that wants to be great but ultimately fails to deliver,"
2,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .",this film
0,"the emperor's club is one of those films that possesses all the good intentions in the world , but . . .",one of those movies that has all the right intentions but somehow falls short
